Input,Predicted,Actual
Standin' between that ugly bastard,<unk> <unk> के <unk> <unk> <unk> <unk>,कि बदसूरत कमीने के बीच खड़े '
"-That's great, I loνe hiking.",<unk> <unk> <unk> <unk> <unk> <unk> .,वह महान होगा. अच्छा.
She's a nice lady.,यह बहुत <unk> है .,वह एक अच्छी औरत है.
THAT'S WHAT YOU SAID.,<unk> <unk> <unk> <unk> <unk> .,कि तुम क्या कहा.
"Thank God, come on.","<unk> , , , <unk> .","भगवान का शुक्र है, चलो।"
That gasoline has caused...,<unk> <unk> <unk> <unk> . .,इस पेट्रोल के कारण...
"""Sweetheart I swear on you.""",""" जानेमन मैं तुम पर कसम खाता । ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
Can you reroute it?,आप <unk> <unk> <unk> कर ?,आप यह reroute कर सकते हैं?
What are you talking about?,तुम तुम में में कर रहे हैं,तुम किस बारे में बात कर रहे हो?
"Look, they cleared the city.","<unk> , <unk> <unk> <unk> . .","देखो, वे शहर को मंजूरी दे दी।"
Perfect match for you.,<unk> <unk> के <unk> <unk> .,आप के लिए परफेक्ट मैच।
Berlin's a city of warehouses.,<unk> <unk> <unk> <unk> <unk> है,बर्लिन गोदामों का एक शहर है.
I need to exist.,<unk> <unk> के <unk> . .,मुझे जाना होगा .
Ellen Niles is dead.,<unk> <unk> <unk> है . .,एलेन नाइल्स मर चुका है.
-And you're going to lose.,तुम के के के रहे रहे हैं .,- और तुम खोने जा रहे हो.
Let's go meet him.,<unk> <unk> से <unk> .,उसे पूरा करने के लिए चलते हैं।
"- I'm so sorry, sir.","I , , , , , .","मुझे माफ करना, भगवान..."
Hang on a minute.,<unk> <unk> <unk> <unk> .,एक मिनट रुको.
Cameron is Niles' son.,<unk> <unk> <unk> <unk> <unk> .,कैमरून नाइल्स 'बेटा है.
"Ah, Mr Vincent, yes.","<unk> <unk> , , , , . .","- ओह, मिस्टर विन्सेंट, हाँ।"
- And keep yourself fed,<unk> <unk> <unk> <unk> .,रखने और अपने आप को खिलाया
"Call the guards, now.","<unk> <unk> , , <unk> .","गार्ड को बुलाओ, अब!"
( rock music playing ),( <unk> ) ) ),(रॉकसंगीतखेल)
Even worse came after.,<unk> के के <unk> .,इससे बुरा बाद आया है।
What are you doing here?,तुम यहाँ क्या कर रहे ?,तुम यहाँ क्या कर रहे हो?
- Are you serious?,आप <unk> <unk> हो ?,- आप गंभीर हैं?
He was my father!,<unk> <unk> <unk> <unk> था !,उन्होंने कहा कि मेरे पिता था!
It is monkey porn.,<unk> <unk> <unk> <unk> . .,यह बंदर अश्लील है.
- What do you want?,तुम क्या <unk> हो ?,- तुम क्या चाहते हो?
"It's okay, little halfling.","यह है , , , है .","कोई बात नहीं, छोटे से छोटू।"
We'll never leave this place.,"मैं , <unk> <unk> नहीं .",हम इस जगह को कभी नहीं छोड़ेंगे.
This is not my place.,यह मेरा <unk> नहीं है .,यह मेरी जगह नहीं है.
I'm his only living relative.,मैं अपने <unk> <unk> <unk> । .,मैं अपने ही रहने वाले रिश्तेदार हूँ.
"""My heart's only loved you.""",""" मेरा तुम पर रिश्तेदार । "" । ""","""मेरा दिल सिर्फ तुम प्यार किया है।"""
I feel like clobbering myself.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,मैं अपने आप को clobbering की तरह लग रहा है।
"You know that, right?","क्या , , , ठीक है ?",तुम्हे ये पता है न?
Where'd you get this?,आप यह यह हो ?,ये कहाँ से मिला?
Men fall from the sky.,<unk> <unk> <unk> <unk> . .,पुरुषों आसमान से गिर जाते हैं।
I'm at Frank's house.,<unk> <unk> <unk> <unk> <unk> है .,मैं फ्रैंक के घर पर हूँ.
Lynne smoked the wrong guy.,<unk> <unk> <unk> <unk> . .,लीनी गलत आदमी स्मोक्ड.
Vito has always been responsive.,<unk> <unk> <unk> <unk> <unk> है .,वीटो हमेशा संवेदनशील रहा.
- You think that's great?,"कि , कि कि कि है है",- क्या आपको लगता है ये ठीक है ?
- Bella does not.,<unk> <unk> नहीं है .,~ बेला नहीं करता है.
"- ALL RIGHT, CALL HER.","<unk> , <unk> <unk> <unk> .","- ठीक है, उसे बुलाओ."
producer IGOR TOLSTUNOV presents,<unk> <unk> <unk> <unk> <unk>,निर्माता की coIIaboration साथ इगोर TOLSTUNOV प्रस्तुत
Harry Truman was our president,<unk> <unk> <unk> <unk> था .,हैरीट्रूमैनहमारेअध्यक्षथे
That's what we're doing?,हम क्या क्या कर रहे हैं ?,कि हम क्या कर रहे है?
I'm sure he'll be grateful.,देखो वह कि वह कि कहा . . .,मुझे यकीन है कि वह आभारी रहेगा.
- Nice reckless flying!,<unk> <unk> <unk> <unk> !,- बहुत अच्छी लापरवाह उड़ान !
"Excuse me, Baiocco, listen.","<unk> , , , , .","मुझे माफ करना, बाइओक्को सुनो,."
"- No, horse shit.","<unk> , <unk> <unk> <unk> .","- नहीं, घोड़े की लीद."
No doubt about it.,<unk> के के बारे में है,इसके बारे में कोई शक नहीं है.
"Jesus, he's like a gremlin.","हाँ , वह एक <unk> <unk> <unk> . .","यीशु ने, वह एक gremlin की तरह है."
"""Sweetheart I swear on you.""",""" जानेमन मैं तुम पर कसम खाता । ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
Are you in danger?,तुम <unk> में <unk> ?,तुम खतरे में हो?
- A magical friendship.,<unk> <unk> <unk> <unk> .,- एक जादुई दोस्ती.
We aren't holding shit!,<unk> नहीं नहीं नहीं ! !,हम गंदगी नहीं पकड़ रहे हैं!
I'm not leaving Hayley alone.,मैं <unk> <unk> नहीं नहीं नहीं ।,मैं हेले अकेले नहीं जा रहा हूँ।
- We gotta move.,<unk> <unk> <unk> . .,- हमें चलना होगा.
"Hey, wait a minute.","<unk> , एक एक <unk> ।","अरे, एक मिनट रुको."
The end of Baby Corp!,<unk> <unk> <unk> <unk> <unk> ! !,बेबी कॉर्प का अंत!
That girl will be human.,<unk> <unk> <unk> <unk> है .,वह लड़की मानव होगा.
"And get the bakhala, please.","<unk> , , , .","और bakhala हो, कृपया."
A reporter came by here.,<unk> <unk> <unk> <unk> . .,एक पत्रकार के यहां से आया था.
Radiation gave birth to mutants.,<unk> <unk> <unk> <unk> <unk> .,विकिरणउत्परिवर्तनोंको जन्मदिया.
You won't have a problem,क्या एक <unk> नहीं नहीं है,आप एक समस्या नहीं होगी
He'll be here soon.,हमें यहाँ से जाएगा ।,वह यहाँ जल्द ही हो जाएगा।
Can we change this up?,हम <unk> <unk> है है ?,हम इस को बदल सकते हैं?
Do the hinges hinge?,<unk> <unk> <unk> <unk> ?,जोड़ ठीक से जुड़ते हैं?
GET RID OF THE CAR.,<unk> <unk> <unk> <unk> <unk> .,कार से छुटकारा मिलता है.
"We'll find it, all right?",<unk> ठीक है ठीक ठीक ठीक ?,हम ढूंढ़ ही लेंगे। ठीक है?
The fruit Durga brings you.,<unk> <unk> <unk> <unk> <unk> . .,वो जो दुर्गा तुमको लाकर देती है.
- What are you saying?,तुम क्या कर रहे हो ?,"- हाँ, मैं एक भूत देखा है?"
"It is an honor, sir.","एक <unk> है , , है है","यह साहब, एक सम्मान की बात है."
Hayley's got the means.,<unk> <unk> <unk> है है .,हेले के साधन मिल गया।
If you run away...,<unk> . . . . .,तुम भाग जाओ तो ...
"What's ""The Disappearing Audience""?","<unk> <unk> <unk> <unk> <unk> <unk> <unk> ""","""गायब श्रोतागण"" क्या है?"
It can only get better.,मैं सिर्फ <unk> नहीं । .,यह सिर्फ बेहतर हो सकता है.
I'm the one who called.,<unk> <unk> <unk> <unk> है .,मैंने ही फोन किया था.
"Scott, they are ants.","<unk> , वे <unk> <unk> रहे हैं","स्कॉट, वे चींटियों हैं।"
You hold it so lightly...,"<unk> , . . . . .",यह बहुत हल्के ढंग से पकड़...
He's abandoning his entire fleet!,<unk> <unk> <unk> <unk> <unk> <unk> ! !,वह अपने पूरे बेड़े को छोड़ रहा है!
That could be arranged.,<unk> <unk> <unk> नहीं है .,उसकी व्यवस्था भी की जा सकती है।
What do you mean?,क्या क्या क्या है ?,आपका क्या अर्थ है?
It's over impound right now.,"<unk> <unk> , <unk> <unk> .",यह खत्म हो चुका है अभी बाड़े में बन्द करना.
(JOE SCREAMS) JOE 1:,( <unk> <unk> बंद बंद ),(जोचिल्लाती) जो1 :
We only make him weaker.,<unk> <unk> <unk> <unk> <unk> .,नहीं तो उसे और कमज़ोर बना देंगे।
What a great idea!,<unk> <unk> <unk> है !,क्या सही विचार है !
I love my life.,"<unk> , <unk> <unk> . .",मुझे मेरे जीवन से प्‍यार है.
"Can I go, man?","<unk> <unk> , , , ?","क्या मैं जा सकता है, यार?"
Christian might have been.,हम पास <unk> है . .,क्रिस्चियन हो सकता है.
Maybe he showed me something.,उन्होंने कहा <unk> मुझे <unk> . .,शायद उसने मुझे कुछ पता दिखाया हो.
I'm not being grouchy.,मैं <unk> <unk> नहीं नहीं . ।,मैं मुंह... ...नहीं बना रहा हूं.
"Kaya, you can't be here!","नहीं , तुम नहीं कर सकते !",मुझे परवाह नहीं है. मुझे यह याद रखें.
"So long, gay boys.","<unk> , , , .","इतने लंबे समय, समलैंगिक लड़कों."
I fucked it up.,<unk> <unk> <unk> <unk> . .,मैं यह गड़बड़ कर दिया.
I'll be your friend.,अपने अपने <unk> <unk> .,मैं आपका दोस्त हाउंगा।
- About 4 hours.,<unk> <unk> <unk> . .,- करीब 4 घंटे.
[PUPPY BARKS AND BURT GASPS],( <unk> <unk> <unk> <unk> <unk> <unk> ),[पिल्ला छाल और बर्ट हाँफना]
Golden goose is here!,<unk> <unk> <unk> है !,Golden goose is here!
"No rabbits, no ducks.","<unk> , , , <unk> <unk> .","कोई खरगोश, कोई बतख।"
Ain't no big deal.,"नहीं , कोई कोई नहीं नहीं .",कोई बड़ी बात नहीं है.
Eve teasing is crime!,<unk> <unk> <unk> <unk> !,लड़की छेड़ना कानूनऩ अपराध है!
"- First floor, mate.","<unk> , , <unk> . .",-पहली मंज़िल पर जाएं।
"All right, man, look.","ठीक है , , , ।","ठीक है, आदमी, देखो."
Of course you do.,"<unk> , <unk> . .",बेशक आता है।
- Why did not call.,<unk> <unk> नहीं नहीं था,~ क्यों नहीं किया.
He drank and died.,और <unk> और <unk> <unk> .,वह पिया और मर गया.
Order must be restored!,<unk> <unk> <unk> <unk> !,शांति बहाल होनी चाहिए!
[ WIND CHIMES RINGING ],( <unk> <unk> <unk> <unk> कर,[पवन बज झंकार]
Know what I think?,<unk> <unk> क्या क्या ? ?,पता है मैं क्या सोचती हूं?
We better get goin'.,<unk> <unk> <unk> . ।,हम बेहतर 'जा मिलता है.
"Time is relative, okay?","<unk> है , , ठीक है ?","समय सापेक्ष है , ठीक है ?"
Why is not it glowing?,यह <unk> नहीं नहीं है ?,यह चमक क्यों नहीं है?
Don't you want a bell?,आप एक <unk> <unk> नहीं ? ?,तुम्हें घंटी नहीं चाहिए क्या?
- Here we go.,हम <unk> से . .,- यहाँ हम चले.
"Stu, he got me.","<unk> , वह मुझे <unk> .","छात्र, वह मुझे मिल गया."
"You can stop this, Darren.","आप , <unk> , , कर हैं .","तुम्हें पता है, डैरेन इस रोक सकता है।"
then I gotta earn that.,"<unk> , <unk> <unk> <unk> .",तो मैं इसे कमाना चाहता हूं।
Planning to buy it.,<unk> <unk> <unk> <unk> . .,खरीदने की सोच रहा हूँ .
- When they are dead?,वे वे <unk> हैं हैं,- जब वे मर चुके होते हैं?
I never saw my father.,"मेरे , मेरे <unk> <unk> था ।",मैंने अपने पिता को कभी नहीं देखा .
Ever thought about settling down?,<unk> के के के <unk> <unk> <unk>,कभी बसने के बारे में सोचा है?
"- Climb. Move, fast!","<unk> <unk> , , , ! !","ऊपर, तेज!"
"Oh, it's 5 dollar.","<unk> , यह <unk> <unk> है .","ओह, यह 5 डॉलर है."
I managed to wrangle membership.,<unk> <unk> <unk> <unk> <unk> .,मैंने सदस्यता हासिल कर ली।
I would do the same.,<unk> <unk> <unk> । .,मैं भी ऐसा ही होगा मुझे क्या करना होगा.
Why did you do it?,क्या यह यह किया ?,तुमने ऐसा क्यों किया?
You can't accuse my son!,आप मेरे <unk> <unk> नहीं सकते हैं !,तुम मेरे बेटे पर आरोप नहीं लगा सकते!
Right in the nuts.,<unk> <unk> <unk> <unk> .,सही में पागल.
boy speaking native language:,पुरुष अपनी 2 में रहा है,लड़का मातृभाषा में बोल रहा है:
Just look at this.,<unk> <unk> <unk> <unk> .,जरा इसे देखो
What do zombies do?,<unk> <unk> <unk> है ?,प्रेत क्या करते हैं?
( BABY CRYING ),( <unk> ) <unk> ),(बच्चा रो)
The Ásgeirsson-Anderson- - What?,<unk> <unk> <unk>,नाम पर अभी भी काम कर रहे हैं.
Go for the overpass.,<unk> <unk> के <unk> .,पुल के लिए जाओ.
She doesn't have to die.,यह <unk> नहीं है है .,वह मरने के लिए नहीं है
They're all Iron Islanders.,<unk> <unk> <unk> <unk> हैं .,वे सब आयरन आइलैंड कर रहे हैं।
Hull has been compromised.,<unk> <unk> <unk> <unk> . .,हल समझौता किया गया है.
I almost got it.,<unk> <unk> <unk> <unk> . .,बस...
Turn your face little right!,<unk> <unk> <unk> <unk> <unk> !,अपना चेहरा जरा दांये घुमाना!
"Well, that's relativity, folks.","<unk> , , , <unk> <unk> <unk> <unk> .","खैर , ये सापेक्षता है मेरे दोस्तों ."
- Aren't you a rat?,तुम एक <unk> <unk> नहीं ?,- क्या तुम एक चूहे नहीं हो?
He greased them both?,"<unk> , <unk> <unk> <unk> हैं",दोनों का काम तमाम कर दिया.
She wanted a conservatory.,<unk> <unk> <unk> <unk> .,विंसेंट।
"You see thieves everywhere, bandits.","<unk> <unk> <unk> , <unk> , .","तुम हर जगह देखती हो चोर, डाकुओं को."
"""719, now you realize.""",""" , <unk> , तुम <unk> । ।","""719, अब आपको पता चलता है."""
Brice is in the bed.,<unk> में में है है,ब्राईस बिस्तर में है.
I messed up big time.,<unk> <unk> <unk> <unk> . .,मैंने बढ़िया समय खराब कर दिया.
"I am sorry, Storm Shadow.","<unk> , , , , <unk> .",मैं माफी तूफान छाया हूँ.
I've never seen that before.,मैं कहा कि कि नहीं नहीं था .,मैं उससे पहले कभी नहीं देखा है.
Something's wrong with the girl.,<unk> के के साथ है है,कुछ लड़की के साथ गलत है.
"Oh, my God! Jesus!","<unk> , <unk> <unk> <unk> ! !","- ओह, मेरे भगवान!"
- Let's be reasonable.,<unk> <unk> <unk> है .,- हमें थोड़ा तर्कसंगत होना होगा.
"Remember, we're all connected.","<unk> , हम हम <unk> हैं .",लेफ्टिनेंट ठीक है.
"Don't worry about it, man.","इस इस बारे बारे , , , ,","इसके बारे में चिंता मत करो, आदमी."
What day is it?,<unk> है <unk> है है,आज कौन-सा दिन है?
"Raleigh, listen to me!","रैले , मेरी , सुनो !","रैले, मेरी बात सुनो!"
Just give me the facts.,<unk> <unk> <unk> <unk> .,बस मुझे तथ्यों दे।
"Well, I warned you...","<unk> , , <unk> <unk> . .",हिरण हे भगवान...
- Nothing to say?,<unk> <unk> <unk> है ?,- कोई बात नहीं?
As I told you before.,"<unk> , आप <unk> <unk> <unk> .",अब मेरे लिए समर्पण...
"I thought I could, but.","मैं कहा , , , , , .","मैं मैं कर सकता था, लेकिन सोचा."
I love my land.,"<unk> , <unk> <unk> <unk> .",मुझे अपनी जमीन से प्यार है.
Shouldn't I take it.,<unk> <unk> <unk> <unk> . .,मैं यह नहीं लेना चाहिए.
For a drunken man.,<unk> <unk> <unk> <unk> .,एक शराबी आदमी के लिए.
Thank you for the help.,आप <unk> के लिए लिए .,आप की मदद के लिए धन्यवाद.
Is she a cricketer too?,वह वह <unk> <unk> <unk> है,वह एक क्रिकेटर भी है?
- You hate mankind much?,"<unk> , <unk> <unk> <unk> ?",- आप बहुत मानव जाति से नफरत है?
-- 3000 Harper block.,<unk> <unk> <unk> <unk> .,- 3000 हार्पर ब्लॉक.
I've got to find him!,यह उसे <unk> <unk> ! !,मुझे उसे खोजना है!
"Pretty, for her type.","<unk> , <unk> <unk> <unk> <unk> .",ठीक ठाक सुंदर है
I miss you so much.,"तुम , तुम कि हो . .",मुझे तुम्हारी बहुत याद आती है।
POLICEMAN. ; 22nd precinct.,<unk> <unk> <unk> <unk> . .,पुलिस: 22 सीमा .
'So Hitler prohibited its usage',<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,'तो हिटलर इसके उपयोग निषिद्ध'
The brief said terrorists.,<unk> <unk> <unk> <unk> . .,संक्षिप्त आतंकवादियों कहा।
But did you see?,तुम <unk> हो ? ?,लेकिन क्या तुमने देखा?
"What'll it be, sir?","हम , , , , है ?","क्या होगा, साहब?"
- Are you kidding?,आप <unk> <unk> कर हैं,~ आप मजाक कर रहे हो?
It won't be so bad.,कि नहीं नहीं नहीं .,इतना बुरा नहीं होगा.
"Not so fast, Sorbonne.","<unk> <unk> , , <unk> <unk> .","इतनी जल्दी नहीं, सोरबोन."
"/ Oh, my God.","<unk> , <unk> , <unk> . .","/ ओह, मेरे भगवान."
It's a long way down.,एक <unk> <unk> नीचे नीचे .,यह काफी नीचे है.
Is Mistress Trixie available?,<unk> <unk> <unk> <unk> <unk> ?,-ट्रिक्सी से बात हो सकती है?
"Coop, finish your fritter, please.","<unk> , , , , <unk> .","Coop, अपना खाना ख़तम करो ."
You gotta lock your doors.,<unk> <unk> <unk> <unk> . .,तुम होगा अपने दरवाजे बंद कर।
- I'm losing my patience!,मैं अपने <unk> <unk> <unk> ! !,- मैं अपना धैर्य खो रहा हूँ!
"Eli, you all right?","<unk> , तुम ठीक हो ?",आप ठीक हैं ?
A man has said.,<unk> <unk> <unk> है . .,एक आदमी ने कहा है।
I love you. Kisses.,"<unk> , आप <unk> <unk> . ।",मैंतुम्हेंप्यारकरताहूँ.
It's the moment of truth.,<unk> के <unk> है .,यह सच्चाई का क्षण है.
- I'll see ya.,<unk> <unk> <unk> <unk> .,- ठीक।
No. Something is wrong.,<unk> <unk> <unk> <unk> . .,"नहीं, कुछ गलत है."
- Jacob please go.,<unk> . से . .,याकूब कृपया जाओ.
"You're a good man, Davide.","एक एक , , , , है .","आप एक अच्छा आदमी, डेविड रहे हैं."
And collect your look-alike's...,<unk> . . .,और इकट्ठा अपने हमशक्ल है...
- I qui-- BURT:,<unk> के <unk>,- मैं यहाँ - बर्ट:
We can destroy the breach.,वे <unk> <unk> <unk> । . ।,हम उल्लंघन नष्ट कर सकते हैं.
"""So click my photo... beloved.""",""" . . तस्वीर पर क्लिक करें . . .","""तो मेरी तस्वीर पर क्लिक करें ... प्रिय"""
I know how to punch.,आप के के कि कैसे है है,मैं पंच के लिए कैसे पता है।
"But what's the point, Alexander?","क्या <unk> है , है है ?","लेकिन मुद्दा यह है, अलेक्जेंडर क्या है?"
I can see the turnoff.,<unk> <unk> <unk> <unk> हैं हैं .,मैं turnoff देख सकते हैं.
- You know it?,<unk> यह है है ?,- आप जानती थी?
Where's the other one?,<unk> <unk> <unk> है है ?,अन्य एक कहाँ है?
"Same old shit, different day.","एक <unk> , , , है .","वही पुरानी गंदगी, अलग दिन."
"I love you, Sita.","<unk> , , तुम्हें <unk> <unk> ।","मैं तुम्हें प्यार करता हूँ, सीता."
I said I got this.,"<unk> , <unk> <unk> <unk> है .",मैं मैं यह मिल गया था.
There's time enough to die.,यह का के लिए है है .,मरने के लिए पर्याप्त समय है.
- There's no shooting.,"<unk> , <unk> नहीं है .",- कोई शूटिंग है.
Son of a god.,<unk> <unk> <unk> <unk> .,एक परमेश्वर के पुत्र / मैं.
I'm not saying that.,"मैं , है कि नहीं . .",मैं यह नहीं कह रहा हूँ.
To The Space Bar.,<unk> <unk> <unk> <unk> . .,स्पेस बार करने के लिए.
[ SARAH LAUGHS NERVOUSLY ],( <unk> <unk> <unk> <unk> कर,[सारा बलपूर्वक हंसते हुए कहते हैं]
Of course you were.,"<unk> , <unk> <unk> .",! तुम थे बेशक.
Anyone else can stay.,और भी <unk> नहीं . ।,और कोई रुक सकता है .
"No, of course, but ...","उह , , , , . . .","नहीं, बिल्कुल, लेकिन..."
Any problem? - What happened?,<unk> <unk> <unk> है,- कोई दिक्कत?
"Unidentified, Max da Costa.","<unk> , <unk> <unk> <unk> .","अज्ञात, मैक्स दा कोस्टा."
- Get to the point.,<unk> <unk> के <unk> .,-मुद्दे पर आओ।
"It was all me, James.","<unk> , , , , .","सबकी मौत के पीछे का कारण मैं ही था, जेम्स।"
And it gets even worse.,यह <unk> के <unk> है .,और यह बदतर होता जा रहा है।
I should've warned you.,तुम तुम्हें <unk> से . .,मैं तुम्हें चेतावनी दी है चाहिए.
- You ask too much.,<unk> <unk> <unk> . .,- आप बहुत सारे सवाल पूछते हैं.
Oh come on now.,"<unk> , <unk> <unk> .",समझा.
Move to West Corridor!,<unk> <unk> <unk> <unk> <unk> !,पश्चिम कॉरिडोर के लिए कदम!
( door closes ),( <unk> ) बंद बंद,(दरवाजाबंदकर देताहै)
"Are you okay, sweetie?","तुम , , , ठीक ? ?","आप ठीक है, स्वीटी हैं?"
I appreciate the thought but...,<unk> . . . . . .,"मैं आप के विचार को मानती हूं, लेकिन ... यह आपके घर की संख्या है?"
I couldn't believe it either.,मैं यह है कि यह कर कर .,मैं यह भी विश्वास नहीं कर सकता.
It would work this time.,यह का <unk> नहीं है .,यह इस समय काम करेगा.
Wedding gift... from me!,<unk> . . . . .,शादी के उपहार ... मुझ से!
What's the matter with you?,<unk> के के साथ है है ?,तुम्हें हो क्या गया है?
I'm going away from you.,मैं तुम्हें वाला जा जा . .,मैं जा रहा हूँ यहाँ से।
I don't do that anymore.,कि यह कि नहीं नहीं . .,मैं अब ऐसा नहीं है.
- What benefit to Macedon?,<unk> <unk> <unk> <unk> <unk> ?,- मेसेडोन को क्या लाभ होगा?
- Do you get it?,आप यह हो हो ?,- क्या तुम समझते हो?
Midway City is under attack.,<unk> <unk> <unk> <unk> है है,मिडवे शहर का दौरा किया है।
And two cats to feed.,<unk> <unk> <unk> <unk> <unk> .,और दो बिल्लयों का पेट भरना है।
[ WHIP CRACKING ],<unk> <unk> <unk> <unk> कर,[कोड़ा खुर]
Sad Flutinas or something?,"<unk> , <unk> <unk> <unk> ?",सैड Flutinas या कुछ और?
And suppose he's innocent.,<unk> वह <unk> <unk> <unk> है .,और मान लो कि वह निर्दोष है.
Only two birds remain.,<unk> <unk> <unk> <unk> .,केवल दो पक्षी रहते हैं.
A man needs a name.,<unk> <unk> <unk> <unk> है .,एक आदमी एक नाम की जरूरत है।
Follow with the main guard.,<unk> <unk> <unk> <unk> <unk> .,मुख्य गार्ड के साथ पालन करें.
"How do you do, Bill?","आप , <unk> , , ? ?","तुम कैसे हो, बिल?"
A PuLi-DDR Presentation ;),<unk> <unk> <unk> <unk>,A PuLi-DDR Presentation ; )
Is he asking for money?,वह के के <unk> <unk> <unk> है,क्या वह पैसे मांग रहा है?
"What a lovely shawl, Auntie.","<unk> <unk> , , <unk> .","कितनी सुंदर चादर, ठाकुर मां."
Raise men from the dead?,<unk> . <unk> है ?,मरे हुओं को जीवित करते हो?
We can't help them now.,"हम उसे , नहीं नहीं नहीं सकते",अब हम उन्हें मदद नहीं कर सकते.
- It could still work.,<unk> भी है कि नहीं है,- अभी भी काम कर सकता है.
"Trouble, leave me alone","<unk> , मुझे <unk> <unk> !","मुसीबत,मुझेअकेलाछोड़दो"
I hit his weakest point.,<unk> <unk> <unk> <unk> <unk> .,मैनें उसकी कमजोर नस पर मारा है
I don't know him.,मुझे नहीं नहीं नहीं .,मैं इसे नहीं जानता.
- I'll do it myself.,मैं इसे <unk> <unk> . .,- मैं खुद कर लूंगा.
"Cut it out, Skinny.","<unk> <unk> , <unk> <unk> .",", स्कीनी उसे काट दिया."
- Jacob I am...,<unk> . <unk> . .,हूँ मैं याकूब ...
- He is handsome!,<unk> <unk> <unk> है है,- वह सुंदर है!
( thudding stops ),( <unk> ) <unk> ),(thuddingबंदहो जाताहै)
God fulfils all of it.,<unk> <unk> <unk> <unk> है .,... भगवान यह सब पूरा करता है।
- Good to see you!,तुम <unk> के <unk> कर !,- आपको देखकर अच्छा लगा!
"Gipsy, listen to me!","रैले , मेरी , सुनो !","जिप्सी, मेरी बात सुनो!"
"Now, let me tell you...","<unk> , , , . . .","मैं अब, मैं आपको बता दूँ..."
Maybe it's the showroom poltergeist?,<unk> <unk> <unk> <unk> है ?,शायद यह शोरूम का भूत हो?
"It's called efficiency, Templeton.","<unk> <unk> <unk> , , <unk> है .","इसे कुशलता कहते हैं, टेम्पलटन।"
Son of a bitch!,<unk> <unk> <unk> <unk> !,एक कुतिया का बेटा!
"Turn back, it's an ambush!","<unk> , यह , <unk> <unk> है !","वापस मुड़ना, आगे घेराबंदी है!"
And I'm such an idiot.,<unk> <unk> <unk> <unk> <unk> <unk> .,और... ... मैं इस तरह के एक मूर्ख हूँ.
We must save princess' honour.,मैं <unk> से <unk> <unk> . .,हमें राजकुमारी का सम्मान बचाना है.
"You know. Sales acumen, charm.","<unk> <unk> <unk> , <unk> , <unk> .","सेल्समैन की होशियारी, उसका आकर्षण।"
It's still the right plan.,"<unk> भी है , है है .",यह अभी भी सही योजना है।
"I don't know, Sita.","नहीं , , , नहीं .","मुझे नहीं पता, सीता नहीं है."
"Hey, you all right?","<unk> , तुम ठीक हो ?","अरे, तुम सब सही है?"
"- Scott, let's go!","<unk> , <unk> <unk> ! !","स्कॉट, चलो चलो!"
We just started setting them.,<unk> <unk> <unk> <unk> <unk> <unk> .,लगाने शुरू किए हैं।
Courage and loyalty still exist.,"और , <unk> <unk> <unk> <unk> .",साहस और निष्ठा अब भी मौजूद हैं.
It is exactly 11am.,<unk> <unk> <unk> <unk> कर है .,सुबह 11 बजे।
"Don't go overboard, my dear...","<unk> , , , , . . . .","Don't go overboard, my dear..."
- You can't hurt me.,तुम मुझे नहीं नहीं नहीं .,- तुम मुझे चोट नहीं पहुँचा सकते.
We never find anything good.,"नहीं , कि नहीं नहीं नहीं .",हम कुछ भी अच्छा मिल कभी नहीं.
4 points to 2.,<unk> <unk> के <unk> .,2 से 4 अंक.
Get that chopper ready.,<unk> <unk> <unk> <unk> . .,कि हेलिकॉप्टर तैयार हो जाओ।
The Russians made me this.,<unk> <unk> <unk> <unk> <unk> . .,रूसियों .. मुझे इस बना दिया!
I know you're there.,"तुम , तुम तुम हो हो .",मैं जानता हूँ तुम वहाँ हो.
"Master Friis, it's two o'clock.","<unk> <unk> <unk> , <unk> <unk> है .",मास्टर फ्रिईस. दो बजे गये है.
We march at once!,<unk> <unk> <unk> <unk> <unk> !,हम एक बार में मार्च!
Confirming they're loading the money.,वे <unk> <unk> <unk> रहे हैं .,वो पैसा लोड कर रहे हैं।
..it will affect you.,<unk> तुम्हें <unk> <unk> <unk> .,..it आप को प्रभावित करेगा।
Go up the back.,<unk> से <unk> . .,ऊपर जाना वापस।
Then let's go fishing.,<unk> <unk> <unk> . .,तो चलो मछली पकड़ने जाने दिया.
[ CELLPHONE RINGS ],<unk> <unk> <unk> <unk> कर,[सेलफोन के छल्ले]
Outsiders are not allowed here.,<unk> <unk> नहीं नहीं .,वह यहाँ नहीं है. अपने व्यापार राज्य और मैं इसे पारित करेंगे.
Danger turned into propaganda.,<unk> <unk> <unk> <unk> .,खतरा प्रचार में बदल गया.
"Come on up, slowpoke.","<unk> , , <unk> .","उपर आ जाओ, आलसी."
Kanchi silk or Benares?,"<unk> , <unk> <unk> <unk> ?",कांची सिल्क या बनारसी?
And he will be free.,वह कहा <unk> <unk> जाएगा .,और वह मुक्त हो जाएगा.
What does the phrase mean?,<unk> <unk> क्या है ?,वाक्यांश क्या मतलब है?
"Brice, what's the matter?","<unk> , क्या क्या क्या ? ?","ब्राईस, क्या बात है?"
