Input,Predicted,Actual
In another 24 hours...baby,<unk> <unk> <unk> . . . .,अगले 24 घंटे में ... बच्चे
"We're back online, spider.","<unk> <unk> वापस , , , , .",हम वापस स्पाइडर ऑनलाइन कर रहे हैं.
"And they handle rattlesnakes, too.","<unk> वे <unk> , , , , .","और वे भी, रैटलस्नेक संभाल."
"Nah, I'm all right.","<unk> , <unk> <unk> , ठीक है .",-नहीं नहीं रहने दो।
Why are you here?,<unk> यहाँ क्या हैं हो ?,-तुम यहां कैसे?
Guardian advanced to target.,लक्ष्य के के के लिए .,गार्जियन लक्ष्य के लिए उन्नत.
Looks like a miniature pickaxe?,<unk> <unk> <unk> <unk> <unk> ?,एक छोटे गैंते की तरह.
What have you done?,<unk> <unk> क्या किया ? ?,तुम क्या किया है?
"I'm on it, sir.","<unk> इसे , , , सर .","मैं उस पर हूँ, सर."
- It's just a tale.,<unk> <unk> एक <unk> है .,- यह सिर्फ एक कहानी है
"[rhythmic dripping, haunting melody continues]","[ <unk> <unk> , , <unk>","[संगीतमय बूंदाबांदी, रहस्यमय स्वरलहरी जारी रहती है]"
Ever seen a train?,<unk> एक बैग है ? ?,कभी ट्रेन देखी है?
"Here, talk to puppy..","<unk> , के के के लिए .","इधर, puppy.."
- Saru's no more.,<unk> <unk> <unk> नहीं . .,- Saru के लिए कोई और अधिक।
Where are you going?,<unk> तुम क्या जा हो ?,तुम कहाँ जा रहे हो?
Now I pull a trigger.,<unk> <unk> <unk> <unk> <unk> .,अब मैं एक ट्रिगर खींच.
Is it a Queen?,<unk> एक <unk> <unk> <unk> ?,यह एक रानी है
"Hey, it's not that bad.","<unk> , यह कि कि नहीं है है .","ए, उतना बुरा भी नहीं है।"
Where did she go away?,<unk> वह क्यों किया ? ?,वो कहाँ चली गयी?
What's going on here?,<unk> यहाँ पर पर है है ?,यहाँ क्या हो रहा है?
Would you like some?,<unk> कुछ कुछ कुछ कुछ ?,क्या तुम कुछ पसंद करोगी?
I'll get you next time.,<unk> समय समय समय . .,मैं आपको अगली बार मिल जाएगा.
"All right, yeah, I'm down.","<unk> , , , , , <unk> . .","ठीक है, हाँ, मैं नीचे हूँ।"
and put under house arrest.,और फिर के की की है .,और घर में नजरबंद रखा.
I found the gypsy cab.,<unk> <unk> <unk> है .,मैं जिप्सी टैक्सी पाया.
You been frighten my mother!,<unk> अपना <unk> गोली गोली <unk> !,तुम मेरी माँ डराने गया!
Did Tigress tell you?,<unk> <unk> मुझे <unk> <unk> ?,टाइग्रेस ने आपको बताया?
What is wrong with him?,<unk> साथ साथ है है ?,उसे क्या हुआ है?
"Hug that log, you!","<unk> <unk> <unk> <unk> , , तुम","लट्ठे को गले लगाओ, तुम!"
His name is Alphonse.,<unk> नाम <unk> है .,उसका नाम अल्फोंस है.
That can be arranged.,<unk> कुछ भी कर कर सकते,इसका बंदोबस्त किया जा सकता है।
Securing the Conn pod.,<unk> <unk> <unk> <unk> .,क्ोन फली सुरक्षित.
Kanchi silk or Benares?,<unk> <unk> <unk> <unk> <unk> ?,कांची सिल्क या बनारसी?
How is that possible?,<unk> क्या है है है ?,वो कैसे संभव है?
Welcome to the promised land.,लक्ष्य के के के लिए . .,स्वर्ग में स्वागत है।
I don't think you understand.,<unk> आप कुछ भी नहीं है है .,मुझे नहीं लगता कि आप समझते हैं।
Prepare for transporter docking operations!,<unk> के <unk> <unk> <unk> !,ट्रांसपोर्टर डॉकिंग के संचालन के िलए तैयार!
"It's okay, my dear Himmler.","<unk> <unk> , , , , .","ठीक है, मेरे प्रिय हिमलर."
I got you some bark.,<unk> <unk> <unk> <unk> <unk> . .,मैं तुम्हें कुछ छाल मिला.
I'm typing the Führer's testament.,<unk> <unk> <unk> <unk> <unk> . .,मैं फ्यूरर का वसीयतनामा टाइप कर रही हूँ.
You're not thinking straight.,<unk> लोग नहीं नहीं कर रहे हैं,तुम स्पष्ट नहीं सोच रहे।
Hypnosis is the perfect tool.,<unk> <unk> <unk> है .,.. सम्मोहन सही उपकरण है
Before that fateful call--,दीवार,उस कॉल करने से पहले -
We can not directly cure.,<unk> <unk> <unk> <unk> कर सकते .,हम सीधे इलाज नहीं कर सकते.
Gratitude can be forgiveness.,<unk> <unk> <unk> कर सकते हैं,आभार क्षमा किया जा सकता है।
How have you done that?,<unk> क्या क्या क्या है ?,जानते हो।
"It's crazy, Max, come on.","<unk> <unk> , , , , , चलो .","यह अधिकतम पागल है, पर आते हैं."
He's in a meeting.,<unk> एक <unk> है है .,वह एक बैठक में है.
I was a little concerned..,<unk> एक <unk> <unk> था .,-मुझे फ़िक्र होने लगी थी
"( MOANING, COUGHING CONTINUES)","( <unk> , , <unk> )","(कराह रही, खांसने जारी)"
You were never a god.,<unk> एक कभी कभी नहीं .,आप एक भगवान कभी नहीं थे।
And I don't understand why.,<unk> <unk> नहीं नहीं नहीं है .,और मैं नहीं समझ पा रही क्यों .
He ​​must visit us then.,<unk> <unk> <unk> <unk> <unk> <unk> .,वह तो हमें यात्रा करनी चाहिए.
"Of all people, Himmler!","<unk> <unk> , , , ! !","सभी लोगों में, हिमलर!"
This is my mother.,<unk> मेरी पिता <unk> है .,यह मेरी माँ है.
I do not believe it.,<unk> यह है है है .,मैं यह विश्वास नहीं है.
What a tyrant you are!,<unk> <unk> <unk> <unk> हो ?,एक तानाशाह आप क्या कर रहे हैं!
/ Don't worry about it.,कार <unk> बारे में में नहीं में नहीं,/ इसके बारे में चिंता मत करो.
He didn't have your number.,<unk> अपने <unk> नहीं किया,उन्होंने अपना नंबर नहीं था।
"Sir,requestingpermissiontoabort Mr. President, please.","<unk> <unk> , <unk> <unk> , , कृपया .",प्लीज़।
How did you know?,<unk> तुम्हें कुछ क्या किया ?,तुम्हेंकैसेपताहै?
your father will overhear.,तुम्हारी पिता <unk> <unk> दिया .,अपने पिता सुन पाना होगा।
"- No, it's red sweat.","<unk> , यह है है है .","- नहीं, यह लाल पसीना है."
The child is buried here.,<unk> <unk> <unk> है . .,बच्चा यहाँ दफन है.
You bring her back.,<unk> वापस वापस वापस वापस .,आप उसे वापस लाने के लिए।
"As far as wheels go,",<unk> <unk> <unk> <unk> <unk> .,"जहाँ तक पहियों के रूप में जाना,"
The Colonel's changing the rules!,<unk> <unk> <unk> <unk> <unk>,कर्नल के नियम बदल!
Get in the corner.,टेलीफोन में में में .,कोने में जाओ.
So I'll teach you.,<unk> <unk> <unk> <unk> <unk> . .,तो मैं तुम्हें सिखाऊँगा.
Thank you very much.,<unk> बहुत बहुत बहुत . .,"बहुत, बहुत शुक्रिया।"
I have a bogey incoming!,<unk> <unk> <unk> <unk>,मैं आने वाले एक दलदली है!
[ CELLPHONE RINGS ],[ <unk> <unk> ] ],[सेलफोन के छल्ले]
He took my silver paper.,<unk> <unk> <unk> <unk> <unk> .,उसने मेरा चांदी का कागज ले लिया.
It is not a lie.,<unk> एक <unk> है .,यह एक झूठ नहीं है।
Someone actually lived here?,<unk> <unk> के से <unk> .,कोई वास्तव में यहाँ रहते थे?
"Then, give it to me.","<unk> , मुझे बात बात . .","तब,दे दो मुझे."
The jack or the king?,<unk> <unk> या <unk> ? ?,जैक या राजा?
- Where is Elias?,<unk> <unk> <unk> है ?,एलियास कहां है?
Look what I have ...,<unk> <unk> <unk> . . .,देखो क्या है...
- Out of his mind.,<unk> की की उपशीर्षक,- अपने दिमाग से बाहर.
Our brother would not run!,<unk> <unk> नहीं ! !,हमारे भाई नहीं चला जाएगा!
[ HEART BEATING ],[ <unk> <unk> ] ],[दिल की धड़कन]
Make sure they're fast.,<unk> है कि कि अच्छे हैं हैं,वे उपवास कर रहे हैं सुनिश्चित करें.
- ( clinks ),( <unk> <unk> ),- (clinks)
"So long, gay boys.","<unk> , , , . .","इतने लंबे समय, समलैंगिक लड़कों."
"Avert your eyes, Templeton!","<unk> <unk> <unk> , <unk> !","वहाँ मत देखो, टेम्पलटन!"
"-Trevor, what are you doing?","<unk> , तुम क्या क्या कर रहे हो","- ट्रेवर, तुम क्या कर रहे हैं?"
"Listen, John... with all sincerity...",<unk> <unk> <unk> . . . . . .,"सुनो, जॉन ... सब ईमानदारी के साथ ..."
Worldwide military is on alert.,<unk> <unk> <unk> <unk> है .,दुनिया भर में सैन्य अलर्ट पर है।
Can you read his pulse?,<unk> आप <unk> <unk> <unk> <unk> ?,आप उसकी नब्ज पढ़ सकते हैं?
"She's using you, Simon.","<unk> <unk> <unk> <unk> , , . .",वह साइमन आप उपयोग कर रहा है.
She wanted to be moved.,<unk> के के होगा . .,मेरे लिए यह और बुरा है.
You gotta calm down.,<unk> <unk> <unk> है .,तुम शांत होगा नीचे.
"What are you doing, sandro?","<unk> तुम , रहे , , रहे हैं","आप, Sandro क्या कर रहे हो?"
I have a ship.,<unk> एक <unk> है .,मेरे पास जहाज है...
[English - US - SDH],[ <unk> <unk>,देखने के लिए धन्यवाद
A curse we incur.,<unk> <unk> <unk> <unk> <unk> .,एक अभिशाप मिला है.
"""If you're a bully""",""" <unk> एक एक एक एक हैं हैं","""आप एक धमकाने कर रहे हैं"""
we're very different people.,हम भले अच्छे हैं हैं हैं .,हम एक-दूसरे से बहुत अलग हैं।
"Yes, I try removing them.",<unk> <unk> <unk> <unk> <unk> . .,"हां, मैं उन्हें दूर करने का प्रयास करें."
She was a fine ship.,<unk> एक <unk> <unk> था .,यह एक अच्छा जहाज था।
"I feel strong, you know.","<unk> <unk> है है है , , ,","मैं सशक्त महसूस करता हूं, यह तुम्हें पता है"
Enjoying this dangerous chase!,इस <unk> <unk> <unk> !,मैं इस चेज का मजा ले रही हूँ!
Yeah. No. Double bubble.,<unk> <unk> <unk> <unk> .,दोगुना पैसा।
"So, what now, boss?","<unk> , , क्या , , , ,","तो अब क्या है, मालिक?"
Subs Provided By Worldwide7477,<unk> <unk> <unk> <unk> <unk>,Worldwide7477 द्वारा प्रदान सब्स
Give mother the fish.,<unk> <unk> में <unk> .,माँ को मछली दे दो.
Thank you for seeing us.,<unk> के के लिए लिए लिए .,हमें देख के लिए धन्यवाद.
It's the sword of Alexander.,<unk> <unk> <unk> <unk> .,यह अलेक्जेंडर की तलवार है।
"Once foul play is suspected,","<unk> <unk> <unk> <unk> , , ,","एक बार ढकोसला संदिग्ध है,"
His illness is incurable,<unk> <unk> <unk> <unk> है,उसका मर्ज लाइलाज है
You keeping 180 degrees awareness?,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,आप 180 डिग्री जागरूकता रखने?
"Well, that's not entirely true.","<unk> , , <unk> नहीं नहीं है .","वैसे, यह पूरी तरह सच नहीं है।"
You want to light it?,<unk> <unk> <unk> करना करना करना ?,तुम सुलगाना चाहते हो?
Stop swinging the bat.,<unk> <unk> <unk> . .,बल्ला झूलाना बंद करो.
"Sir, playing fun again!","<unk> , <unk> <unk> बंद !","सर,फिर मजाक कर रहे हो!"
"Okay, listen, and be careful.","<unk> , , , , . . .","ठीक है, सुनो, और सावधान रहना होगा."
"Soledad O'Brien ""In the Moment""","<unk> <unk> <unk> <unk> <unk> <unk> ""","Soledad ओ ब्रायन ""पल में"""
"So, it's a suit?","<unk> , , यह एक है है","इसलिए, यह एक सूट है?"
Did you see it?,<unk> आप यह क्या हो ?,आप यह देखा?
-Our bellies could be brothers!,<unk> तुम वाला कर सकते !,-हमारी तोंद तो जुड़वाँ जैसी हैं!
We have no other option,<unk> <unk> नहीं नहीं है,हम कोई अन्य विकल्प नहीं है
Sometimes we couldn't even eat.,<unk> <unk> नहीं नहीं नहीं नहीं । .,कभी-कभी हमें खाने को भी नहीं मिलता था।
It was on you too.,<unk> आप अच्छा पर था .,यह भी आप पर था.
You are something special.,<unk> कुछ कुछ कर हैं .,आप कुछ विशेष हैं.
- Do you get it?,<unk> आप इसे <unk> ? ?,- क्या तुम समझते हो?
Erik are you coming?,<unk> तुम क्या जा हो ?,"एरिक, तुम आ रहे हो?"
A psychiatrist at Arkham Asylum.,<unk> <unk> <unk> <unk> <unk> .,शरण में एक मनोचिकित्सक।
"Mid-20s, 5'5"", good health, athletic.","<unk> , , , , , , , ,","मध्य 20, 5'5 "", अच्छे स्वास्थ्य, एथलेटिक।"
This isn't over yet.,<unk> हमें नहीं नहीं नहीं है है,ये अभी ख़त्म नहीं हुआ है।
"Remember, we're all connected.","<unk> , हम हम <unk> हैं हैं .",लेफ्टिनेंट ठीक है.
"That $1.99 buffet again, baby?","<unk> <unk> <unk> <unk> <unk> <unk> , , ,","कि फिर से $ 1.99 बुफे, बच्चे?"
Colonel hendry was there.,<unk> <unk> <unk> किया . .,कर्नल हेन्द्री वहां गया था.
(CELL PHONES ALL CONTINUE RINGING),( <unk> <unk> <unk> ) ),(सेल फ़ोन सभी बज जारी)
My own little retirement party?,<unk> <unk> के <unk> <unk> ली ली,मेरे खुद के छोटे सेवानिवृत्ति पार्टी ?
What would you have eaten?,<unk> <unk> <unk> <unk> ? ?,तो खाती क्या?
Even worse came after.,<unk> समय समय समय है .,इससे बुरा बाद आया है।
We stole from you?,<unk> <unk> को को ? ?,हम तुम से चुरा लिया?
Your lover is a weapon.,<unk> <unk> एक है है .,अपने प्रेमी एक हथियार है.
What are these offerings for?,<unk> <unk> <unk> <unk> <unk> हैं हैं,ये चढ़ावा किसलिए है?
Why would I apologize?,<unk> <unk> <unk> <unk> ? ?,मुझे क्षमा करें? आप मुझे बहाना क्यों करेंगे?
Maybe he showed me something.,<unk> वह मुझे मुझे मुझे मुझे .,शायद उसने मुझे कुछ पता दिखाया हो.
It's kind of cool.,<unk> <unk> की की है .,यह सचमुच शानदार है.
- We understood that much.,<unk> <unk> समय समय है .,~ कि हम समझ में आया.
2nd piece of good news,<unk> के <unk> . .,अच्छी खबर के 2 टुकड़े
I can't save him.,<unk> उसे नहीं नहीं सकते .,कोई खजाना नहीं है
- Get lost man.,<unk> <unk> में <unk> .,- भाग यहाँ से.
I'm sure he did.,<unk> वह कि वह कि कि .,मुझे यकीन है कि वह किया.
I'm Special Agent-in-Charge Roma.,<unk> <unk> <unk> .,मैं विशेष एजेंट में प्रभारी रोमा हूँ.
I can do it.,<unk> ऐसा कर कर सकते .,-मैं सब कुछ करूंगा.
Our weapons are ineffective.,<unk> <unk> <unk> कर कर .,हमारे हथियारों अप्रभावी कर रहे हैं।
Endurance is hitting stratosphere!,<unk> <unk> <unk> है !,Endurance समतापमंडल को छूने वाला है !
Understood./ And Phil either.,<unk> <unk> <unk> <unk> <unk> .,समझ गया. / और फिल या तो.
But I do care.,<unk> <unk> परवाह है .,लेकिन मुझे परवाह है।
"- Good game, sweetheart.","<unk> <unk> , , , ,","- अच्छा खेल, जानेमन."
Are you seeing this?,<unk> आप कुछ कुछ कुछ ?,आप यह देख रहे हैं?
"Silly girl, you scared me.","<unk> <unk> , , , मुझे मुझे मुझे","मूर्ख लड़की, तुम मुझे डर लगता है।"
Who is that girl?,<unk> क्या है है है ?,ये लड़की कौन है?
"Hey, Torn. Hey, buddy.","<unk> , <unk> , , , , .",दोस्त।
I hope you don't mind?,<unk> है है है नहीं है है,आशा है बुरा नहीं मानोगे?
The man's a genius.,<unk> <unk> <unk> <unk> <unk> .,यह व्‍यक्ति प्रतिभाशाली है.
So was her so-called mother.,<unk> मां को को,और उसकी तथाकथित माँ को भी।
( girl breathes heavily ),( <unk> <unk> ),(लड़की भारी साँस लेता है)
"Jack, do you copy?","<unk> , , तुम तुम हो हो","जैक,आपकॉपीकरसकता हूँ"
- You mean that?,<unk> कि कि कि है,- तुम सच कह रहे हो?
"Don Antonio, it's Michele.","<unk> <unk> <unk> , , <unk> . .",डॉन एंटोनियो मिशेल है.
Must attack them now!,<unk> <unk> <unk> <unk> ! !,हमें हमला करना चाहिए!
Amélie has a dazzling idea.,<unk> <unk> <unk> <unk> है .,Amélie को एक idea आता है ...
You're not a psychopath.,<unk> एक नहीं नहीं हैं,तुम मनोरोगी नहीं हो।
I should've warned you.,<unk> तुम्हें को चाहिए चाहिए चाहिए .,मैं तुम्हें चेतावनी दी है चाहिए.
We're paying her for this?,<unk> इस के लिए <unk> कर रहे हैं,-हम इसके लिए पैसा देंगे?
It's all over the news.,<unk> <unk> <unk> <unk> है . .,यह सब खबर खत्म हो गया।
We have to secure Cerberus.,<unk> के के लिए .,हम Cerberus को सुरक्षित करने के लिए है.
I'll be back soon.,<unk> वापस वापस वापस वापस . .,मैं जल्द ही वापस हो जाएगा.
Did you like the food?,<unk> <unk> <unk> <unk> ? ?,आप खाना पसंद आया?
And neither can you!,<unk> है तुम तुम सकता सकता,और ना ही आप कर सकते हैं!
- Look for Victoria.,<unk> के के लिए .,~ ~ विक्टोरिया के लिए देखो.
"♪ BABY, LIFE'S TOO SHORT",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"♪शिशु,/मैं जीवनकाबहुतछोटा♪ ♪शिशु,जीवनबहुतछोटा है"
"Sister, I am coming.","<unk> , <unk> <unk> <unk> .","दीदी, मैं आ रहा हूँ।"
Trying to please everybody.,<unk> के के के लिए .,सबको खुश करने की कोशिश कर रहा.
"Long time, no see, Clyde.","<unk> <unk> , , , , , .","लंबे समय, क्लाइड नहीं देखा."
Mending wrongs for a ghost.,<unk> के के के लिए . .,एक भूत के लिए गलतियों को सुधारने बनाना।
"Now think real hard, Doc.","<unk> <unk> की , , , . .","अब जरा जोर देकर सोचो, डॉक्."
We need to override the..,<unk> की के की है . .,हम ओवरराइड करने के लिए की जरूरत है ..
We see a good burn.,<unk> एक अच्छा कि है । ।,हमएकअच्छाजला देख
- You fixed her.,<unk> <unk> <unk> मारा .,- तुमने उसे ठीक कर दिया।
"I met another girl, Dad.",<unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"मैं एक लड़की से मिला , Dad."
You have two drones offline.,<unk> <unk> <unk> <unk> .,आप दो ड्रोन ऑफ़लाइन है
"- No, we didn't.","<unk> , , नहीं नहीं चाहिए .","-न, हमें नहीं मिला।"
That will be the cook.,<unk> <unk> <unk> किया .,यही कारण है कि कुक होगा।
HANNAH: What was that?,<unk> <unk> कि कि कि था,हन्ना : क्या था?
We gotta move now.,<unk> <unk> जाना होगा .,हमअब के लिएकदम होगा.
"Same for you, boyses?","<unk> के लिए <unk> , , ?",तुम लोगों के लिए भी वही?
"Let's go, fast. Fast.","<unk> , , चलो , . .","चलो चलते हैं, तेजी से करते हैं।"
She's not a princess.,<unk> समय समय नहीं . .,वह एक राजकुमारी नहीं है।
"Two pilots, mindMelding through memories","<unk> <unk> <unk> , , <unk> ,",एक विशाल मशीन के शरीर के साथ
"Yeah, he's a good kid.","<unk> , वह एक अच्छा लड़का है ।","हाँ, वह एक अच्छा बच्चा है."
I'm not a programmer.,<unk> एक <unk> नहीं नहीं . .,मैं एक प्रोग्रामर नहीं हूँ.
How's the weather down there?,<unk> की की की की है है,मौसम कैसा है वहाँ?
Let's get out of here.,<unk> यहाँ से नीचे नीचे .,चलो अब चलो यहाँ से .
- Bring the basket.,<unk> <unk> <unk> .,क्या मुझे इसके लिए सीढ़ियाँ चढ़ना है?
What about our garden?,<unk> के के <unk> में ?,हमारे बगीचे के बारे में क्या?
This ain't World War Two.,<unk> <unk> <unk> <unk> नहीं है .,यह दो विश्व युद्ध नहीं है।
She was a dear friend.,<unk> एक <unk> <unk> था .,वह एक प्रिय दोस्त था.
"Plan B, rendezvous Bravo.","<unk> <unk> <unk> , <unk> <unk> .","प्लानबी,मिलनस्थलब्रावो"
"There's no time, Ram.","<unk> <unk> , नहीं , . .","कोई समय नहीं, राम नहीं है।"
"No, shut the hell up.","<unk> , , चलो ।","नहीं, मूंह बंद रखो."
Standin' between that ugly bastard,<unk> ' <unk> <unk> <unk> <unk> <unk>,कि बदसूरत कमीने के बीच खड़े '
Go with your father.,लक्ष्य पिता पिता के <unk> .,अपने पिता के साथ जाओ।
"Well, they're looking for him.","<unk> , के लिए लिए रहे हैं ।","खैर, वे उसके लिए देख रहे हैं."
Give them that number.,<unk> कि कि कि है .,उन्हें यह नम्बर दे दो.
What do you believe?,<unk> आप क्या है है ?,आप क्या विश्वास करते हो?
I'm about to start.,<unk> के के के के लिए .,मैं शुरू करने के बारे में हूँ.
"Where are you, boy?","<unk> आप , , , , ,","कहां तुम लड़का है, कर रहे हैं?"
What does it mean?,<unk> यह कुछ है है है,इसका क्या मतलब है?
"I'm going home, Rom.","<unk> <unk> <unk> , जा । .","मैं घर जा रहा हूँ , Rom."
That's the domestic bit.,<unk> <unk> <unk> .,"यह तो ""घरेलू"" हुआ."
"No, lift your chin.","<unk> , , पीछे पीछे .","नहीं, अपनी ठोड़ी उठाओ."
"You tried your best, Murph.","<unk> हमेशा के , , <unk> . .","तुमने अपनी और से पूरा प्रयास किया, Murph."
- But he was bored,<unk> वह कहा था था,-लेकिन सच्ची में उसका मन नहीं लग रहा था
The tobacco is for Papa.,<unk> के के लिए <unk> . .,तंबाकू पिताजी के लिए है.
"A glass of water, please.","<unk> <unk> <unk> <unk> , कृपया","कृपया एक गिलास पानी,."
What's the code to D227?,<unk> <unk> के है ? ?,डी227 का कोड क्या है ?
Oei's Father died earlier.,<unk> <unk> <unk> <unk> <unk> है .,पहले पिता ओएइ की मृत्यु हो गई.
I'm good to go.,<unk> के के लिए । ।,मुझे जाना अच्छा हूँ.
"Hey, guys, found it.","<unk> , , , , है . .","अरे, दोस्तों, यह पाया."
Take her to the breach!,<unk> के के लिए ! !,भंग करने के लिए उसे ले लो!
There are mitigating circumstances.,<unk> <unk> <unk> कर हैं .,परिस्थितियों केस कम करने वाली हैं.
I confess a disappointment.,<unk> <unk> <unk> <unk> .,मैं एक निराशा कबूल / मैं
Our efforts were in vain.,<unk> <unk> <unk> <unk> <unk> .,हमारे प्रयास व्यर्थ गये.
- BRUCE WAYNE = BLIND,<unk> <unk> <unk> <unk> <unk>,- ब्रूस वेन = अंधा
You clipped one of them.,<unk> <unk> के <unk> . .,आप उनमें से एक को काटा गया.
"We've got to go, Jack!","<unk> , , <unk> ! ! !",हम जैक जाने के लिए मिल गया है!
Because we missed the bus.,<unk> <unk> <unk> <unk> . .,क्योंकि हमारी बस छूट गई थी.
- Lucy must be thrilled.,<unk> <unk> <unk> किया .,- लूसी बहुत खुश होगी।
Gonna see you tomorrow.,<unk> आप आप <unk> बंद .,कल आप देख वाला.
And here's the Bible.,<unk> <unk> <unk> है .,और ये रही बाइबिल.
Otherwise I shall destroy you.,<unk> <unk> <unk> <unk> . . .,अन्यथा मैं होगा आप को नष्ट कर।
You're gonna miss it.,<unk> ने ने कर कर हैं .,आप यह याद करने वाले हैं.
( gas hissing ),( <unk> <unk> ),(गैसhissing)
- WIND YOUR WINDOW DOWN.,<unk> <unk> <unk> <unk> .,- अपनी खिड़की के नीचे हवा.
You watch over her.,<unk> <unk> से ले . .,आप उस पर देखते हैं।
Why help them? !,<unk> उन्हें उन्हें जा ! !,उनकी मदद क्यों की जाए?
Your room's on the right.,"<unk> , <unk> देखो .",तुम्हारे कमरे दाईं तरफ हैं.
I get it. Alas.,<unk> <unk> <unk> <unk> .,मैं समझ गया.
"We await your instruction, Master.",<unk> <unk> <unk> <unk> <unk> <unk> . .,"गुरू जी, आपके अनुदेशों का इंतज़ार है।"
- She breeds donkeys.,<unk> <unk> <unk> <unk> .,- मैं एक खगोल विज्ञानी हूं।
Probably the second mark.,<unk> की के <unk> .,शायद सेकंड का चिह्न.
They're looking for me.,<unk> मेरे लिए लिए रहे रहे हैं,वे मेरे लिए देख रहे हैं.
He's just in pain.,<unk> में में में में है है,दर्द में है... ..
They've already slipped away.,"<unk> <unk> , <unk> <unk> है .",वे पहले ही हाथ से फिसल गये हैं.
"JAYE: Hustle up, guys.","<unk> <unk> , , , .","जायेWorldwide7477द्वाराप्रदानकीजिए,दोस्तों."
What are you doing?,<unk> तुम क्या कर रहे हो,तुम क्या कर रहे हो?
Come meet your new brother.,लक्ष्य नए भाई भाई . .,आओ अपने नए भाई से मिलो।
He explains it to me.,<unk> मुझे मुझे लिए मुझे . .,उन्होंने कहा कि मेरे लिए बताते हैं.
Pan to the old man!,<unk> के के के ! !,कैमरा उस बूढ़े पर ले जाओ!
I'II do what I can.,<unk> क्या क्या क्या है है .,मैं जो कर सकती हूँ करूँगी.
"We will kill her, sir.","<unk> उसे उसे मुझे , जाएगा ।","हम उसे मार, सर होगा।"
Warning standard does not work.,<unk> <unk> कुछ भी नहीं नहीं .,चेतावनी मानक काम नहीं करता है.
"Sometimes you're paid, sometimes not","<unk> <unk> <unk> , , , , रहे",कभी मजदूरी मिलती हैं कभी नहीं.
"You're like a knife, right?",<unk> एक एक एक एक हैं रहे हैं,"आप सही, एक चाकू की तरह कर रहे हैं?"
Want to know about her?,<unk> के के बारे में बारे ?,उसके बारे में जानना चाहते हो?
She has nothing to say.,<unk> पैसे कुछ कुछ है है .,वह कुछ नहीं कहना है।
We have to do something.,<unk> कुछ कुछ है . .,हमें कुछ करना है!
It's like this you see...,<unk> कारण कि कि . . . .,देखिए ऐसा है कि...
You make this yourself?,<unk> यह क्या क्या किया ?,आप स्वयं इस बनाते हैं?
He carries a briefcase.,<unk> <unk> <unk> <unk> .,यह ब्रीफ़केस लेकर चलता है।
man speaking native language:,पुरुष अपनी मातृभाषा मातृभाषा में बोल,पुरुष अपनी मातृभाषा में बोल रहा है:
"These are dreams, nothing more.","<unk> <unk> <unk> , <unk> कुछ कर .","ये सपने, ज्यादा कुछ नहीं कर रहे हैं।"
- It's a meteorite.,<unk> <unk> <unk> <unk> .,यह एक उल्का-पिंड है।
© P@rM! NdeR M@nkÖÖ ™,( <unk> बंद बंद बंद,©@ पीआर एम nderएम@ nkÖÖ 
You can't meet here!,<unk> यहाँ नहीं नहीं नहीं !,तुम यहाँ बैठक नहीं कर सकते!
There's something blocking me.,<unk> <unk> मुझे मुझे मुझे मुझे है,मैं शॉ खो दिया है! वहाँ मुझे अवरुद्ध कुछ है.
"- Yeah, you too.","<unk> , , तुम तुम ।","- हाँ, आपको भी."
"Time is relative, okay?","<unk> <unk> के है , है है","समय सापेक्ष है , ठीक है ?"
You know what I'm thinking.,<unk> <unk> कि कि कि कि क्या है,तुम्हें पता है मैं क्या सोच रहा हूँ पता है.
"Put the gun down, Cameron.","<unk> , , , . .",", कैमरून बंदूक नीचे रखो."
I want a clean deployment.,<unk> <unk> <unk> <unk> <unk> . .,मैं एक स्वच्छ तैनाती चाहते हैं.
He has betrayed me.,<unk> मुझे ने मुझे मुझे है,उसने मुझे धोखा दिया है.
We're still getting a signature!,<unk> <unk> <unk> <unk> हैं हैं हैं,हम अभी भी एक हस्ताक्षर हो रही है!
Like a hive mind.,<unk> <unk> <unk> <unk>,एक छत्ता मन की तरह .
I'm going to church.,<unk> <unk> के लिए जा जा .,मैं चर्च के लिए जा रहा हूँ.
Still with this thing.,<unk> इस के के लिए .,अब भी यही पहन रखा है।
- Just say I do.,<unk> <unk> <unk> है .,- बस आप स्वीकार करते हैं।
We have to go now.,अब <unk> के है .,हम अब जाना है.
Shall I crucify your king?,<unk> <unk> <unk> <unk> <unk> ? ?,क्या मैं तुम्हारे राजा को क्रूस पर चढ़ाऊं?
You're welcome to it!,<unk> के के लिए ! ! !,आप इसे करने के लिए स्वागत कर रहे हैं!
- On your BMW.,<unk> <unk> <unk> <unk> .,तुम्हारी बीएमडब्ल्यू पर?
EMT ON SPEAKER. ;,<unk> <unk> <unk> <unk>,EMTपर:
I'll be there right away.,<unk> यहाँ हो जाएगा जाएगा .,बस कुछ ही देर मे आता हूँ.
That's good to hear.,<unk> की के लिए है है .,सुनकर अच्छा लगा।
"What's ""The Disappearing Audience""?","<unk> <unk> का "" <unk> "" <unk> ?","""गायब श्रोतागण"" क्या है?"
( door closes ),( <unk> <unk> बंद ),(दरवाजाबंदकर देताहै)
